time (min)/weight (g),Set3_D31,Set3_D32,Set3_D33,Set2_D21,Set2_D22,Set2_D23,Set1_D11,Set1_D12,Set1_D13
309.0,594.0,778.0,594.3,409.7,440.7,464.3,839.3,809.3,748.0
310.0,595.0,779.0,596.0,410.7,441.7,465.7,841.0,811.0,749.0
311.0,596.0,781.0,597.0,411.7,443.0,467.3,842.0,812.0,751.0
312.0,597.0,782.0,598.3,413.0,444.0,468.0,843.3,813.3,752.0
313.0,598.0,783.7,599.3,414.3,445.3,469.7,844.3,814.0,754.0
314.0,600.0,785.0,601.0,415.3,446.3,470.7,845.7,815.3,755.0
315.0,601.0,786.0,602.3,416.0,447.3,471.7,847.0,816.7,757.0
316.0,602.0,787.7,603.3,417.3,448.7,473.0,848.0,817.7,758.0
317.0,603.0,789.0,604.3,418.7,449.7,474.0,849.0,818.7,759.0
318.0,604.0,790.3,606.0,419.7,451.0,475.3,850.3,820.0,761.0
319.0,605.0,791.3,607.3,421.0,452.0,476.7,851.7,821.3,762.0
320.0,607.0,792.7,608.3,421.7,453.0,477.7,852.7,822.3,763.0
321.0,608.0,794.3,610.0,423.3,454.0,478.7,853.7,823.7,764.0
322.0,609.0,795.3,611.0,424.3,455.3,480.0,855.0,824.7,766.0
323.0,610.0,796.7,612.0,425.0,456.3,481.3,856.0,825.7,768.0
324.0,611.0,798.3,613.7,426.3,457.7,482.0,857.0,827.0,769.0
325.0,612.0,799.7,614.7,427.3,458.7,483.7,858.0,828.3,770.0
326.0,614.0,800.7,616.0,428.7,459.3,484.7,859.3,828.7,772.0
327.0,614.0,802.0,617.0,429.7,460.7,486.0,860.3,830.3,773.0
328.0,616.0,803.7,618.3,430.7,462.0,487.0,862.0,831.0,774.0
329.0,617.0,804.7,619.7,431.7,463.0,488.3,863.0,832.3,776.0
330.0,618.0,805.7,621.0,432.7,464.0,489.3,864.0,833.3,777.0
331.0,619.0,807.0,622.0,434.0,465.0,490.3,865.0,834.3,778.0
332.0,620.0,808.7,623.0,435.0,465.7,491.3,866.7,835.7,779.0
333.0,621.0,810.0,624.0,436.3,467.3,492.7,867.3,836.7,781.0
334.0,622.0,811.0,626.0,437.3,468.3,493.7,868.3,837.7,782.0
335.0,623.0,812.3,627.0,438.7,469.3,494.7,869.3,839.3,783.0
336.0,625.0,814.0,628.0,439.7,470.3,496.0,870.7,840.0,785.0
337.0,626.0,815.0,629.0,441.0,471.3,497.0,871.7,841.0,786.0
338.0,627.0,816.0,630.0,441.7,472.3,498.3,872.7,842.0,787.0
339.0,628.0,817.3,632.0,442.7,473.7,499.7,874.3,843.3,789.0
